,TMEM,P5_1,J2_1,J2_14,J1AB,T2,Q1_1,Q1_3,Q1_5,Q1_13
138,11,2,1,2,1,2,2,3,1,3
139,8,2,1,2,1,3,2,2,1,1
140,3,2,1,1,1,2,2,1,2,1
141,12,2,1,2,1,3,2,2,1,1
142,6,2,1,2,1,2,3,3,2,1
143,6,2,1,2,1,2,2,1,1,1
144,2,2,1,2,1,2,1,1,1,1
145,3,2,1,2,1,2,2,1,1,1
146,11,2,1,2,1,3,2,2,1,1
147,4,2,1,2,1,2,1,1,3,1
148,7,2,1,2,1,3,3,1,3,1
149,7,2,1,2,1,2,2,1,1,1
150,6,2,1,2,1,2,1,1,1,1
151,7,2,1,2,1,3,2,1,1,1
152,6,2,1,2,1,2,2,1,1,1
153,5,2,1,2,1,2,2,2,2,1
154,9,2,1,2,1,3,3,2,3,1
155,11,2,1,1,1,2,1,1,1,1
156,5,2,1,2,1,2,2,1,1,1
157,4,2,1,2,1,2,2,2,1,1
158,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
159,8,2,1,2,1,2,2,1,1,1
160,8,2,1,2,1,3,1,2,1,1
161,4,2,1,2,1,2,2,2,1,1
162,9,2,1,2,1,3,2,1,1,1
163,6,2,1,2,1,2,2,1,1,1
164,9,2,1,2,2,2,2,1,1,3
165,6,2,1,2,1,1,2,2,1,3
166,12,2,1,2,1,2,3,1,1,1
167,6,2,1,2,1,2,2,1,1,1
168,10,2,1,2,1,3,1,1,1,1
169,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
170,4,2,1,2,1,3,2,1,1,3
171,8,2,2,2,1,2,2,2,2,1
172,12,2,1,2,1,2,2,1,1,3
173,6,2,1,2,1,2,2,1,1,1
174,4,2,1,2,1,1,2,1,1,2
175,5,2,1,2,1,2,2,1,2,1
176,5,2,1,2,1,3,2,1,3,1
177,5,2,2,2,1,3,1,2,1,1
178,6,2,1,2,1,2,2,1,2,1
179,5,2,1,2,1,3,2,1,1,1
180,5,2,1,2,1,1,2,2,1,3
181,6,2,1,2,2,3,1,2,1,1
182,6,2,1,2,1,1,2,1,2,1
183,6,2,1,2,1,2,2,3,1,1
184,6,2,1,2,1,3,2,1,2,1
185,8,2,2,2,1,9,9,9,9,9
186,5,2,1,2,1,2,2,1,2,3
187,7,2,1,2,2,3,2,1,1,1
188,5,2,1,2,1,2,2,1,2,1
189,9,2,1,2,1,2,2,3,1,1
190,8,2,1,2,1,2,2,2,2,1
191,3,2,1,2,1,2,2,1,1,3
192,8,2,2,2,1,2,2,1,2,1
193,7,2,1,2,1,2,2,1,2,1
194,6,2,1,2,1,2,2,2,2,2
195,4,2,1,2,1,2,2,1,1,1
196,7,2,1,2,1,2,3,2,1,1
197,7,2,1,2,1,3,3,3,3,2
198,5,2,1,2,1,2,2,1,3,1
199,10,2,1,2,1,2,2,1,1,1
200,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
201,8,2,1,2,2,3,2,1,1,1
202,5,2,1,2,1,2,1,1,1,1
203,4,2,1,2,1,2,2,1,1,1
204,5,2,1,2,1,2,2,1,2,1
205,5,2,1,2,1,3,2,2,2,1
206,6,2,1,2,1,2,3,1,1,1
207,7,2,1,2,1,2,2,2,2,1
208,6,2,1,2,1,2,2,2,2,1
209,4,2,2,2,1,2,2,1,1,1
210,12,2,1,2,1,2,3,1,1,1
211,2,2,1,2,1,2,2,1,1,1
212,10,2,1,2,1,2,2,2,2,1
213,7,2,1,2,1,3,2,2,1,1
214,10,2,1,2,1,2,1,1,1,1
215,6,2,1,2,1,3,2,1,3,1
216,6,2,1,2,1,2,2,1,1,3
217,6,2,1,2,2,3,1,2,1,1
218,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
219,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
220,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
221,5,2,1,2,1,1,3,1,1,1
222,5,2,1,2,1,2,2,1,1,1
223,5,2,1,2,1,2,1,1,1,1
224,5,2,2,2,1,1,2,2,1,1
225,6,2,1,2,1,2,2,2,2,1
226,11,2,1,2,2,3,3,1,1,1
227,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
228,3,2,1,2,1,2,2,2,1,1
229,5,2,1,2,1,1,1,2,1,2
230,5,2,1,2,1,3,2,1,1,1
231,6,2,1,2,1,3,2,1,1,1
232,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
233,8,2,1,2,1,2,2,1,3,1
234,5,2,1,2,1,3,2,3,1,2
235,4,2,1,2,1,2,2,2,2,1
236,3,2,2,2,1,9,9,9,9,9
237,7,1,1,2,1,1,1,1,1,1
238,12,2,1,2,1,3,2,1,1,1
239,5,2,1,2,1,2,2,1,1,1
240,3,2,1,2,1,3,2,2,2,1
241,5,2,1,2,1,9,9,9,9,9
242,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
243,7,2,1,2,1,2,2,1,1,1
244,4,2,1,2,1,1,2,1,1,2
245,4,2,1,2,1,9,9,9,9,9
246,4,2,1,2,1,2,2,1,2,1
247,4,2,1,2,1,3,2,1,3,1
248,3,2,1,2,1,2,1,1,1,1
249,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
250,1,2,1,2,1,2,2,1,1,1
251,7,2,1,2,1,3,2,1,1,1
252,6,2,1,2,1,3,2,1,1,1
253,6,2,1,2,1,3,2,1,1,1
254,4,2,1,2,1,3,2,1,2,1
255,3,2,1,2,1,2,2,2,1,1
256,3,2,1,2,1,1,2,1,2,3
257,4,2,1,2,1,2,2,1,2,1
258,4,2,1,2,1,2,2,1,1,3
259,7,2,2,2,1,2,2,1,1,1
260,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
261,5,2,1,2,1,2,2,1,1,1
262,5,2,1,2,1,2,2,1,1,1
263,5,2,1,2,1,2,2,2,1,2
264,3,2,1,2,1,2,1,1,1,1
265,4,2,1,2,1,3,2,1,1,1
266,3,2,1,2,1,3,3,1,1,1
267,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
268,10,2,1,2,1,3,2,1,3,1
269,5,2,1,2,2,3,2,2,1,1
270,4,1,1,2,1,2,2,1,2,2
271,9,2,1,2,1,2,1,2,2,2
272,5,1,1,2,1,1,2,2,1,1
273,4,2,1,2,1,2,3,1,1,1
274,4,2,1,2,1,2,2,1,1,1
275,5,2,1,2,1,2,2,3,1,1
276,9,2,1,2,1,2,2,1,1,1
277,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
278,9,1,1,2,1,2,2,2,2,2
279,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
280,4,2,1,2,1,9,9,9,9,9
281,5,1,1,2,1,2,2,1,1,1
282,6,1,1,2,1,2,2,3,1,1
283,6,1,1,2,1,3,2,1,1,2
284,4,1,1,2,1,1,2,1,1,2
285,8,1,1,2,1,1,2,2,1,1
286,7,1,1,2,1,2,2,1,1,1
287,4,1,1,2,1,1,2,1,2,1
288,6,2,1,2,1,2,2,1,1,1
289,3,2,1,2,1,2,2,2,1,1
290,5,2,1,2,1,2,2,1,1,2
291,8,1,1,2,1,2,2,1,3,1
292,4,2,1,2,1,2,2,2,1,2
293,4,1,1,2,1,1,2,2,1,1
294,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
295,3,2,1,2,1,2,2,3,1,1
296,5,2,1,2,1,2,2,1,1,1
297,8,1,1,2,1,2,2,2,1,1
298,8,2,1,2,1,2,9,9,9,9
299,2,2,1,2,1,1,2,2,1,1
300,9,1,1,2,1,2,2,1,1,1
301,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
302,6,2,1,2,1,2,2,1,1,2
303,4,1,2,2,1,2,2,1,1,1
304,12,2,1,2,1,3,2,1,2,1
305,3,2,1,2,1,2,2,1,3,1
306,2,1,2,2,1,2,2,1,1,1
307,3,2,2,2,1,1,2,2,1,1
308,5,2,1,2,1,2,2,2,2,1
309,5,2,2,2,1,2,2,1,1,1
310,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
311,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
312,10,1,1,2,1,2,2,1,1,1
313,6,1,1,2,1,2,2,3,1,1
314,4,1,1,2,1,1,2,2,1,1
315,4,2,1,2,1,3,2,1,1,1
316,8,2,1,2,1,2,2,1,2,1
317,4,1,1,2,1,2,2,1,1,1
318,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
319,6,1,1,2,1,2,2,1,2,1
320,4,2,1,2,1,3,2,1,1,1
321,6,1,1,2,1,2,2,1,2,2
322,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
323,5,1,1,2,1,1,2,2,1,1
324,4,2,1,2,1,2,2,1,1,1
325,6,2,1,2,1,2,2,2,2,1
326,4,2,1,2,1,2,2,1,1,1
327,9,2,1,2,1,2,2,3,1,1
328,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
329,5,2,1,2,1,2,2,2,3,3
330,4,2,1,2,1,2,2,1,2,1
331,3,2,1,2,1,2,2,2,1,1
332,4,2,1,2,1,2,2,1,1,1
333,4,2,1,2,1,2,2,3,1,1
334,6,2,1,2,1,2,2,1,1,1
335,4,2,1,2,1,1,2,3,1,1
336,8,2,1,2,1,2,2,2,1,1
337,4,2,1,2,1,2,2,1,3,1
338,5,1,1,2,1,1,2,2,1,1
339,4,1,1,2,1,1,2,2,1,1
340,6,2,1,1,1,2,1,1,2,1
341,3,2,1,2,1,9,9,9,9,9
342,8,2,1,2,1,1,2,2,1,1
343,4,1,1,2,1,1,2,1,1,1
344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
345,4,1,1,2,1,2,2,3,1,1
346,4,1,1,2,1,1,2,2,1,1
347,5,1,1,2,1,1,2,3,1,1
348,8,2,1,2,1,1,2,2,1,1
349,4,2,1,2,1,1,2,1,1,1
350,3,2,1,2,1,2,2,1,1,1
351,5,2,1,2,1,2,1,1,2,1
352,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
353,10,1,1,2,1,2,2,2,2,1
354,4,2,1,2,1,2,2,1,2,1
355,5,2,1,2,1,1,2,2,1,1
356,4,2,1,2,1,3,2,2,2,1
357,7,2,2,2,1,1,1,2,2,1
358,4,1,1,2,1,2,2,1,1,1
359,3,1,1,2,1,2,2,3,1,1
360,3,2,1,2,1,2,2,2,3,1
361,3,2,1,2,1,2,2,2,2,2
362,4,2,1,2,1,2,2,2,1,1
363,4,2,2,2,1,2,1,1,1,1
364,4,2,2,2,1,2,2,1,1,1
365,4,2,1,2,1,2,2,1,1,1
366,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
367,3,2,1,2,1,9,9,9,9,9
368,3,2,1,2,1,3,2,1,1,1
369,3,2,1,2,1,2,2,2,1,1
