,TMEM,P5_1,J2_1,J2_14,J1AB,T2,Q1_1,Q1_3,Q1_5,Q1_13
584,7,2,1,2,1,2,1,1,1,1
585,5,2,1,2,1,2,2,2,1,1
586,4,2,1,2,1,9,9,9,9,9
587,5,2,1,2,1,3,2,2,1,1
588,6,2,1,2,1,2,2,2,1,1
589,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
590,5,2,1,2,1,9,9,9,9,9
591,8,2,1,1,1,1,2,1,1,1
592,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
593,4,2,1,2,1,2,2,1,1,1
594,4,2,1,2,1,2,2,2,1,2
595,4,2,1,2,1,2,2,2,1,1
596,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
597,7,1,1,2,1,2,2,1,1,1
598,5,2,1,2,1,2,1,2,1,2
599,5,2,1,2,1,2,2,2,1,1
600,7,2,1,2,1,2,2,2,1,1
601,4,2,1,2,1,2,2,1,1,1
602,7,2,1,2,1,3,2,1,1,1
603,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
604,5,2,1,2,1,2,2,2,2,1
605,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
606,3,2,1,2,1,2,2,2,2,1
607,6,2,1,2,1,2,2,1,2,1
608,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
609,6,1,1,2,1,2,1,2,1,1
610,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
611,5,2,1,2,1,2,2,2,2,1
612,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
613,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
614,8,2,1,2,1,2,2,1,1,1
615,4,2,1,2,1,1,2,1,2,1
616,5,2,1,2,1,9,9,9,9,9
617,4,1,1,2,1,2,2,2,1,1
618,8,2,1,2,1,2,2,2,1,1
619,12,1,1,2,1,9,9,9,9,9
620,7,2,1,2,1,3,2,2,1,1
621,5,2,1,2,1,2,1,1,1,1
622,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
623,8,2,1,2,1,2,2,2,1,1
624,12,2,1,2,1,2,2,2,2,1
625,3,1,1,2,1,2,2,1,1,3
626,4,2,1,2,1,2,2,1,1,1
627,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
628,4,2,1,2,1,2,2,1,1,1
629,5,2,1,2,1,3,2,1,2,1
630,8,2,1,2,1,1,2,1,2,1
631,5,2,1,2,1,2,2,2,2,1
632,4,2,1,2,1,2,2,2,1,1
633,3,2,1,2,1,9,9,9,9,9
634,3,2,1,2,1,2,2,2,1,1
635,6,2,1,2,1,2,2,2,1,2
636,5,2,1,2,1,1,2,2,1,1
637,5,2,1,2,1,3,2,1,1,1
638,3,2,1,2,1,9,9,9,9,9
639,4,2,1,2,1,9,9,9,9,9
640,7,2,1,2,1,2,2,2,3,1
641,4,2,1,2,1,9,9,9,9,9
642,5,2,1,2,1,2,2,2,2,1
643,8,2,1,2,1,3,2,2,1,1
644,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
645,6,2,1,2,1,2,2,2,1,1
646,8,2,1,2,1,2,2,1,1,1
647,5,1,1,2,1,2,2,2,1,2
648,5,1,1,2,1,2,3,2,2,1
649,8,2,1,2,1,2,2,1,1,1
650,7,1,1,2,1,2,2,2,1,1
651,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
652,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
653,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
654,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
655,6,1,1,2,1,2,1,2,1,2
656,12,2,1,2,1,2,2,2,1,1
657,10,2,1,2,1,2,2,1,2,1
658,6,2,1,2,1,2,2,1,1,1
659,9,2,1,2,1,2,2,1,1,1
660,8,1,1,2,1,2,1,1,1,2
661,9,2,1,2,1,2,2,2,1,1
662,8,2,1,2,1,2,2,2,1,1
663,11,1,1,2,1,2,2,1,1,1
664,4,2,1,2,1,2,2,1,1,1
665,4,2,1,2,1,2,2,2,1,2
666,3,2,1,2,1,1,2,2,2,1
667,7,2,1,2,1,1,2,1,2,1
668,7,2,1,2,1,2,2,1,1,1
669,5,2,1,2,1,2,2,2,1,1
670,4,2,1,2,1,2,2,1,1,1
671,6,2,1,2,1,2,1,2,1,1
672,6,2,1,2,1,2,2,1,3,1
673,6,2,1,2,1,2,2,2,1,1
674,5,2,1,2,1,2,2,1,1,2
675,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
676,5,2,1,2,1,2,2,2,1,2
677,7,2,1,2,1,2,2,2,1,1
678,7,2,1,2,1,2,2,1,2,1
679,6,2,1,2,1,3,2,1,1,1
680,4,2,1,2,1,2,2,2,1,1
681,4,2,1,2,1,2,2,2,2,1
682,5,2,1,2,1,2,2,1,1,1
683,2,2,1,2,1,2,2,2,1,1
684,9,2,1,2,1,2,2,1,2,1
685,4,2,1,2,1,2,2,2,1,2
686,5,2,1,2,1,2,2,2,1,1
687,9,2,1,2,1,2,2,2,2,1
688,5,2,1,2,1,2,2,1,1,1
689,7,2,1,2,1,2,2,2,1,1
690,5,1,1,2,1,2,1,2,1,1
691,4,2,1,2,1,3,2,2,1,1
692,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
693,4,2,1,2,1,2,2,2,2,1
694,5,2,1,2,1,2,2,1,1,1
695,5,2,1,2,1,2,2,2,1,1
696,5,1,1,2,1,2,2,2,1,2
697,6,2,1,2,1,9,2,2,1,1
698,3,2,1,2,1,2,2,2,2,1
699,3,2,1,2,1,2,2,1,1,1
700,10,2,1,2,1,2,2,1,2,1
701,3,2,1,2,1,2,1,2,1,2
702,10,2,1,2,1,2,2,2,1,1
703,5,2,1,2,1,2,2,1,2,1
704,4,2,1,2,1,2,2,1,2,1
705,4,2,1,2,1,3,2,1,2,1
706,3,2,1,2,1,2,2,2,2,1
707,3,2,1,2,1,2,2,2,1,2
708,6,2,1,2,1,2,2,2,1,1
709,5,2,1,2,1,2,2,1,2,1
710,7,2,1,2,1,2,2,2,1,1
711,7,2,1,2,1,3,2,1,1,2
712,5,2,1,2,1,2,1,2,1,2
713,5,2,1,2,1,3,3,2,1,1
714,3,1,1,2,1,2,2,1,1,1
715,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
716,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
717,7,2,1,2,1,2,2,1,1,2
718,12,1,1,2,1,3,2,1,1,2
719,5,2,1,2,1,2,2,1,1,2
720,12,2,1,2,1,2,2,1,1,1
721,5,2,1,2,1,2,2,1,1,2
722,6,2,2,2,1,2,1,2,1,1
723,2,2,1,2,1,2,2,1,1,2
724,4,2,1,2,1,3,2,2,1,2
725,8,2,1,2,1,2,2,1,1,2
726,6,2,1,2,1,2,2,2,1,2
727,4,2,2,2,1,2,3,3,1,2
728,5,2,1,2,1,2,2,1,1,2
729,4,2,2,2,1,2,1,1,2,2
730,5,2,1,2,1,2,1,1,1,2
731,12,2,1,2,1,3,2,2,2,2
732,12,2,1,2,1,3,2,2,1,2
733,8,2,1,2,1,2,2,1,1,1
734,12,2,1,2,1,2,2,1,1,1
735,5,2,1,2,1,2,2,1,1,2
736,6,2,2,2,1,2,2,2,2,2
737,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
738,7,2,1,2,1,2,1,1,1,1
739,10,2,2,2,1,3,2,3,1,2
740,12,2,1,2,1,2,2,2,1,2
741,6,2,1,2,1,2,2,1,1,1
742,7,2,1,2,1,1,2,2,2,2
743,4,2,2,2,1,2,2,1,1,2
744,6,2,2,2,1,2,1,1,1,1
745,5,2,1,2,1,2,2,2,1,2
746,5,2,1,2,1,3,2,1,1,2
747,5,2,1,2,1,2,2,1,1,1
748,6,2,1,2,1,2,2,1,1,1
749,5,2,2,2,1,3,1,1,1,2
750,9,2,1,2,1,2,2,2,1,2
751,9,2,1,2,1,2,2,1,1,2
752,7,2,1,2,1,3,1,1,1,2
753,7,2,1,2,1,3,2,1,2,2
754,12,2,1,2,1,2,2,1,1,1
755,4,2,1,2,1,9,9,9,9,9
756,5,2,1,2,1,3,2,1,1,1
757,4,2,1,2,1,1,2,2,1,1
758,4,2,2,2,1,2,1,1,1,1
759,9,2,1,2,1,2,2,1,1,2
760,7,2,1,2,1,1,2,1,1,2
761,6,2,1,2,1,2,2,1,2,2
762,6,2,1,2,1,3,2,1,1,1
763,5,2,1,2,2,3,2,1,1,2
764,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
765,11,2,1,2,1,2,1,1,1,2
766,8,2,1,2,1,3,1,1,1,2
767,5,2,1,2,1,2,2,1,1,2
768,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
769,7,2,1,2,1,1,1,1,1,1
770,5,2,1,2,1,1,2,2,1,2
771,7,2,1,2,1,2,2,1,1,1
772,6,2,1,2,1,2,1,2,2,2
773,6,2,1,2,1,3,2,1,1,2
774,2,2,1,2,1,1,2,1,2,3
775,11,2,1,2,1,2,2,1,1,2
776,4,2,1,2,1,3,2,1,1,1
777,5,2,1,2,2,2,2,1,1,2
778,4,2,2,2,1,2,1,1,1,2
779,9,2,1,2,1,2,2,1,1,2
780,4,2,2,2,1,2,2,1,1,2
781,5,2,1,2,1,2,2,1,2,1
782,6,2,1,2,2,1,2,2,2,2
783,3,2,1,2,2,2,2,2,1,2
784,3,2,2,2,1,3,2,1,1,2
785,6,2,1,2,1,3,1,2,1,2
786,5,2,1,2,1,3,2,1,1,1
787,4,2,1,2,1,1,2,1,1,2
788,7,2,1,2,1,2,1,1,1,1
789,9,2,1,2,1,1,2,3,1,2
790,5,2,1,2,1,2,2,1,1,2
791,6,2,1,2,1,2,2,1,2,1
792,11,2,1,2,1,2,1,1,1,2
793,8,2,1,2,1,3,2,1,1,2
794,8,2,1,2,1,2,2,1,1,2
795,4,2,1,2,1,1,2,2,1,2
796,3,2,1,2,2,2,2,1,1,2
797,5,2,1,2,1,2,1,1,1,3
798,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
799,5,2,1,2,1,2,3,2,1,2
800,8,2,1,2,1,3,1,1,1,1
801,6,2,1,2,1,3,2,1,1,2
802,5,2,1,2,1,2,2,1,1,3
803,4,2,1,2,1,2,2,1,2,1
804,6,2,1,2,1,2,3,3,1,2
805,5,2,1,2,1,1,3,3,2,3
806,12,2,1,2,1,2,2,1,1,2
807,5,2,1,2,1,2,2,1,1,1
808,6,2,1,2,1,3,2,1,1,2
809,9,2,1,2,1,3,2,1,1,2
810,8,2,1,2,1,2,2,1,1,2
811,4,2,1,2,1,1,2,3,1,1
812,6,2,1,2,1,1,2,2,1,2
813,4,2,1,2,2,2,1,1,1,2
814,4,2,1,2,1,2,2,2,1,2
815,9,2,2,2,1,3,2,1,1,2
816,4,2,1,2,1,2,2,2,1,2
817,5,2,1,2,1,2,2,1,1,1
818,4,2,1,2,1,2,2,1,1,1
819,5,2,1,2,1,3,3,3,1,1
820,12,2,1,2,1,2,1,1,1,1
821,6,2,1,2,1,3,2,2,2,2
822,11,2,1,2,1,2,2,2,1,1
823,5,2,1,2,1,2,2,2,1,2
824,6,2,2,2,1,2,2,1,1,2
825,6,2,1,2,1,2,1,1,1,1
826,12,2,1,2,1,2,2,2,1,2
827,3,2,1,2,1,9,9,9,9,9
828,5,2,1,2,1,3,1,1,1,2
829,4,2,1,2,1,2,2,1,1,2
830,9,2,1,2,1,3,2,1,1,2
831,4,2,1,2,1,2,1,1,1,2
832,7,2,1,2,1,9,3,1,1,1
833,4,2,1,2,1,1,2,1,1,1
834,4,2,1,2,1,2,2,1,1,2
835,7,2,1,2,1,3,1,1,1,2
836,3,2,1,2,1,3,2,2,1,2
837,6,2,1,2,1,3,2,1,1,1
838,3,2,1,2,1,2,2,1,2,1
839,5,2,1,2,1,1,2,1,1,1
840,5,2,1,2,2,2,2,1,1,2
841,3,2,1,2,2,1,1,1,1,2
842,3,2,1,2,2,2,2,2,1,3
843,6,2,1,2,1,2,2,2,1,2
844,4,2,1,2,1,1,2,1,1,2
845,4,2,1,2,1,2,2,1,2,1
846,8,2,1,2,1,2,2,2,1,1
847,4,2,1,2,1,2,2,1,1,2
848,4,2,1,2,1,2,1,1,1,2
849,4,2,1,2,1,2,2,1,1,2
850,7,2,1,2,1,2,2,2,2,1
851,8,1,1,2,1,3,2,1,1,2
852,5,2,1,2,1,2,2,1,2,2
853,6,1,1,2,2,9,2,1,1,1
854,4,2,1,2,1,1,2,1,1,1
855,5,2,1,2,2,2,1,1,1,2
856,6,2,1,2,1,3,2,2,1,2
857,8,2,1,2,1,1,2,1,1,2
858,4,2,1,2,2,2,2,3,1,2
859,6,2,1,2,1,2,2,1,1,1
860,3,2,1,2,1,2,2,1,1,1
861,5,2,1,2,1,2,1,1,1,1
862,6,2,1,2,1,2,2,1,1,2
863,8,2,1,2,1,2,2,2,1,2
864,10,2,1,2,1,2,2,1,1,1
865,8,2,1,2,1,2,2,1,1,2
866,6,2,1,2,1,3,2,2,1,1
867,9,2,1,2,2,2,2,1,1,2
868,7,2,2,2,1,2,1,1,1,3
869,6,2,1,2,1,2,2,1,1,1
870,5,2,2,2,1,1,2,1,1,2
871,9,2,1,2,1,2,2,1,1,1
872,3,2,1,2,1,2,2,1,1,1
873,11,2,1,2,1,1,2,2,2,2
874,6,2,1,2,1,2,2,1,1,1
875,7,2,2,2,1,2,1,1,1,1
876,5,2,2,2,1,3,2,1,1,1
877,5,2,1,2,1,2,3,1,1,1
878,8,2,1,2,1,2,3,1,1,1
879,10,2,1,2,1,2,2,1,1,1
880,5,2,1,2,1,1,2,2,1,2
881,3,2,1,2,1,3,2,1,1,1
882,5,2,1,2,1,3,2,1,1,1
883,5,2,1,2,1,2,2,1,1,2
884,5,2,2,2,1,3,2,1,1,2
885,4,2,1,2,1,2,2,1,1,1
886,10,2,1,2,1,2,2,1,1,1
887,5,2,1,2,1,2,2,1,1,2
888,4,2,1,2,1,2,1,1,1,2
889,5,2,1,2,1,3,2,1,1,1
890,4,2,1,2,1,2,3,1,1,2
891,11,2,1,2,1,9,2,3,1,1
892,10,2,1,2,1,1,2,1,1,1
893,6,2,1,2,1,2,2,1,1,2
894,6,2,1,2,1,2,1,2,1,2
895,3,2,1,2,1,2,2,1,1,1
896,4,2,1,2,1,3,2,1,1,2
897,6,2,1,2,2,3,2,2,1,2
898,4,2,1,2,2,2,2,1,1,1
899,4,2,1,2,1,2,2,1,1,1
900,5,2,1,2,1,1,2,1,1,2
901,5,2,1,2,1,2,2,1,2,2
902,4,2,1,2,1,2,2,1,1,1
903,4,2,2,2,1,3,2,1,1,2
904,6,2,2,2,1,2,1,3,3,1
905,4,2,1,2,1,2,2,2,2,1
906,5,2,1,2,1,2,2,1,1,1
907,7,2,2,2,1,2,2,2,1,2
908,4,2,1,2,2,2,1,1,1,2
909,8,2,1,2,1,3,2,1,1,2
910,5,2,2,2,1,1,2,1,1,2
911,5,2,1,2,1,1,2,1,1,1
912,4,2,1,2,1,2,1,1,1,2
913,5,2,2,2,1,2,2,1,1,2
914,6,2,2,1,1,3,2,1,2,2
915,3,2,1,2,1,2,2,1,1,2
916,5,2,2,2,1,3,2,1,1,2
917,5,2,1,2,1,2,1,1,2,2
918,5,2,1,2,1,3,2,2,1,1
919,4,2,1,2,1,2,1,1,1,2
920,12,2,1,2,1,3,2,2,2,1
921,3,2,1,2,1,2,3,2,1,1
922,9,2,1,2,1,2,2,1,3,2
923,5,2,1,2,1,2,2,1,1,1
924,4,2,1,2,1,2,2,2,2,1
925,4,2,1,2,1,3,2,2,1,1
926,3,2,1,2,2,2,2,2,1,1
927,12,2,1,2,1,2,2,2,1,1
928,6,2,1,2,1,3,2,2,1,1
929,7,2,1,2,1,1,2,1,1,1
930,11,2,1,2,1,2,2,1,1,1
931,6,2,1,2,1,1,2,2,1,1
932,5,2,1,2,1,3,2,2,1,1
933,5,2,1,2,1,1,2,1,2,1
934,10,2,1,2,1,3,2,2,1,1
935,5,2,1,2,1,1,2,1,1,1
936,5,2,1,2,1,2,1,2,1,1
937,12,2,1,2,1,2,1,2,1,1
938,4,2,1,2,1,3,2,2,1,1
939,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
940,5,2,1,2,1,1,2,1,1,1
941,7,2,1,2,1,2,2,2,1,1
942,8,2,1,2,1,1,2,1,1,1
943,5,2,1,2,1,1,2,1,1,2
944,4,2,1,2,1,2,2,2,1,1
945,9,2,1,2,1,2,2,1,1,1
946,4,2,1,2,2,1,2,1,1,1
947,6,2,2,2,1,2,3,2,1,1
948,9,2,1,2,1,2,2,2,1,1
949,11,2,1,2,1,1,2,1,1,1
950,6,2,1,2,1,3,2,2,1,1
951,8,2,1,2,1,2,2,2,2,1
952,4,2,1,2,1,3,2,2,2,1
953,6,2,1,2,1,2,2,2,2,1
954,4,2,1,2,1,2,2,2,1,1
955,3,2,1,2,1,9,9,9,9,9
956,8,2,1,2,1,3,2,2,1,1
957,3,2,1,2,1,1,2,1,2,1
958,4,2,1,2,2,3,2,2,2,1
959,4,2,1,2,2,1,2,2,1,1
960,5,2,1,2,1,2,2,1,1,1
961,6,2,1,2,1,3,2,1,3,1
962,10,2,1,2,2,1,2,1,1,1
963,3,2,1,2,1,2,2,1,1,1
964,12,2,1,2,1,2,2,2,1,1
965,7,2,1,2,2,2,2,1,1,1
966,5,2,1,2,2,2,2,1,1,2
967,3,2,1,2,2,2,3,1,1,1
968,4,2,1,2,1,2,1,1,1,1
969,3,2,1,2,2,2,2,1,1,2
970,6,2,1,2,1,2,2,1,1,1
971,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
972,12,2,1,2,1,2,2,2,1,1
973,2,2,1,2,2,1,2,1,1,1
974,4,2,1,2,2,3,2,2,1,1
975,4,2,1,2,2,2,2,1,1,1
976,3,2,1,2,2,2,2,2,1,2
977,2,2,1,2,2,2,2,1,1,1
978,12,2,1,2,1,2,2,2,2,1
979,9,2,1,2,1,1,2,1,2,1
980,7,2,1,2,1,3,2,2,1,1
981,3,2,1,2,1,2,2,1,1,1
982,4,2,1,2,1,1,2,1,1,1
983,4,2,1,2,1,1,2,2,1,1
984,5,2,1,2,1,2,2,2,2,1
985,7,2,1,2,1,2,2,2,1,1
986,3,2,1,2,2,3,2,1,1,1
987,3,2,1,2,2,2,2,1,2,1
988,3,2,1,2,2,2,2,1,1,1
989,5,2,1,2,1,1,2,1,1,1
990,12,2,1,2,1,2,2,1,1,1
991,7,2,1,2,1,2,2,1,1,1
992,6,2,1,2,1,3,1,2,1,1
993,5,2,1,2,1,2,1,1,1,1
994,8,2,1,2,1,2,2,1,1,1
995,5,2,1,2,1,1,2,1,1,1
996,3,2,1,2,2,3,1,2,1,1
997,6,2,1,2,1,1,2,2,1,1
998,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
999,4,2,1,2,1,3,2,1,1,1
1000,3,2,1,2,1,3,2,1,1,1
1001,4,2,1,2,1,2,2,1,1,1
1002,5,2,1,2,1,1,2,1,1,2
1003,4,2,1,2,1,3,2,3,2,1
1004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1005,3,2,1,2,1,2,2,1,1,1
1006,4,2,1,2,1,2,2,2,2,1
1007,4,2,1,2,1,2,2,2,1,1
1008,6,2,1,2,1,3,2,2,1,1
1009,6,2,1,2,1,1,2,1,1,1
1010,10,2,1,2,1,2,2,2,1,1
1011,5,2,1,2,1,1,2,2,1,1
1012,8,2,1,2,1,2,2,2,1,1
1013,5,2,1,2,1,2,2,1,1,1
1014,6,2,1,2,1,2,2,1,1,1
1015,6,2,1,2,1,1,2,1,1,1
1016,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1017,5,2,1,2,1,2,2,2,1,1
1018,5,2,1,2,1,1,2,2,1,1
1019,4,2,1,2,1,3,2,2,1,1
1020,5,2,1,2,1,2,1,1,1,1
1021,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1022,5,2,1,2,1,1,2,1,1,1
1023,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1024,4,2,1,2,1,2,2,2,1,1
1025,5,2,1,2,1,2,2,2,1,1
1026,4,2,1,2,1,1,2,1,1,1
1027,5,2,1,2,1,2,2,1,1,1
1028,5,2,1,2,1,1,2,1,1,1
1029,5,2,1,2,2,2,2,2,1,1
1030,4,2,1,2,1,1,2,2,1,1
1031,8,2,1,2,1,3,2,2,1,1
1032,5,2,1,2,1,1,2,1,1,1
1033,4,2,1,2,1,2,2,2,1,1
1034,3,2,1,2,2,2,2,1,1,1
1035,4,2,1,2,1,2,2,2,1,2
1036,9,2,1,2,1,2,2,2,1,1
1037,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1038,6,2,1,2,1,2,2,2,2,1
1039,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1040,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1041,4,2,1,2,1,2,2,1,1,1
1042,5,2,1,2,2,3,2,2,1,2
1043,4,2,1,2,2,2,1,1,1,1
1044,5,2,1,2,2,3,2,2,1,1
1045,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1046,5,2,1,2,2,2,1,1,1,1
1047,5,2,1,2,1,1,2,1,1,1
1048,4,2,1,2,1,1,2,2,1,1
1049,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1050,4,2,1,2,1,2,1,2,1,2
1051,3,2,1,2,2,3,2,2,1,1
1052,3,2,1,2,1,1,2,1,1,1
1053,5,2,1,2,2,2,2,2,1,1
1054,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1055,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1056,5,2,1,2,1,2,2,2,1,2
1057,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1058,5,2,1,2,1,2,2,1,2,1
1059,5,2,1,2,2,2,2,2,1,1
1060,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1061,5,2,1,2,2,2,2,2,1,1
1062,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1063,4,2,1,2,2,3,2,2,1,2
1064,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1065,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1066,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1067,2,2,1,1,2,2,2,1,1,1
1068,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1069,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1070,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1071,3,2,1,2,2,3,2,2,1,1
1072,5,2,1,1,1,2,2,1,1,1
1073,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1074,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1075,4,1,1,2,2,3,2,1,1,2
1076,4,2,1,2,2,2,2,2,1,1
1077,4,2,1,2,2,1,2,1,1,1
1078,12,2,1,2,1,2,2,2,1,1
1079,6,2,1,2,2,2,2,1,1,1
1080,5,2,1,2,1,2,2,1,1,1
1081,5,2,1,2,1,2,3,1,1,1
1082,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1083,5,2,1,2,1,2,2,1,1,1
1084,4,2,1,2,2,1,2,1,1,1
1085,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1086,5,2,1,2,1,3,2,1,1,1
1087,3,2,1,1,1,2,2,2,1,1
1088,6,2,1,1,1,1,2,1,1,1
1089,4,2,1,2,1,3,2,1,1,1
1090,3,2,1,2,2,2,2,2,1,1
1091,6,2,1,2,1,2,3,1,1,1
1092,6,2,1,2,2,3,2,2,1,1
1093,6,2,1,2,1,3,2,1,1,1
1094,7,2,1,1,2,1,2,2,1,1
1095,5,2,1,2,1,1,2,1,1,1
1096,7,2,1,2,2,2,2,1,1,1
1097,4,2,1,2,1,1,2,1,1,3
1098,3,2,1,2,1,2,2,1,1,1
1099,4,2,1,2,1,2,2,2,2,1
1100,4,2,1,2,1,2,2,1,1,1
1101,5,2,1,2,1,2,2,2,1,1
1102,5,2,1,2,1,1,2,1,1,1
1103,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1104,4,2,1,2,1,3,2,2,1,1
1105,7,2,1,2,1,2,2,2,1,1
1106,6,2,1,2,1,3,2,1,1,1
1107,10,2,1,2,1,3,2,1,1,1
1108,8,2,1,2,1,1,1,1,1,2
1109,6,2,1,2,1,2,2,2,1,1
1110,8,2,1,2,1,2,2,1,1,1
1111,5,2,1,1,1,3,2,2,1,1
1112,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1113,3,2,1,2,1,3,2,2,1,1
1114,3,2,1,2,1,2,2,3,2,1
1115,10,2,1,2,1,2,2,1,1,1
1116,4,2,1,2,1,3,2,1,1,1
1117,3,2,1,2,1,1,1,1,2,1
1118,6,2,1,2,1,3,2,1,1,1
1119,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1120,5,2,1,2,2,3,2,2,2,3
1121,4,2,1,2,2,2,2,2,1,1
1122,4,2,1,2,1,2,2,2,1,1
1123,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1124,4,2,1,2,2,2,2,1,1,1
1125,4,2,1,2,2,2,2,2,3,1
1126,2,2,1,2,1,3,2,2,3,1
1127,5,2,1,2,2,2,2,1,1,1
1128,5,2,1,2,1,2,2,1,1,3
1129,3,2,1,2,1,2,2,2,1,1
1130,5,2,1,2,2,2,2,2,1,1
1131,4,2,1,2,1,3,2,1,1,1
1132,5,2,1,2,1,2,2,2,1,1
1133,3,2,1,2,2,2,2,1,1,1
1134,3,2,1,2,1,2,2,1,1,1
1135,4,2,1,2,1,1,2,1,2,1
1136,3,2,1,2,1,2,2,2,2,1
1137,5,2,1,2,1,1,3,1,1,1
1138,3,2,1,2,2,2,2,1,3,1
1139,5,2,1,2,1,2,2,2,2,1
1140,12,2,1,2,1,1,2,1,3,1
1141,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1142,4,2,1,2,1,2,2,2,1,1
1143,4,2,1,2,1,2,2,1,1,1
1144,5,2,1,2,1,3,2,1,1,1
1145,5,2,1,2,1,1,2,3,1,1
1146,4,2,1,2,1,2,2,2,3,1
1147,5,2,1,2,1,2,2,1,1,1
1148,7,2,1,2,1,2,2,1,2,1
1149,7,2,1,2,1,2,2,2,1,1
1150,11,2,1,2,1,1,2,2,3,2
1151,7,2,1,2,1,2,2,1,1,1
1152,4,2,1,2,2,2,2,1,1,1
1153,6,2,1,2,2,9,9,9,9,9
1154,6,2,1,2,1,9,9,9,9,9
1155,6,2,1,2,1,2,2,1,1,1
1156,9,2,1,2,1,2,2,2,1,1
1157,7,2,1,2,1,3,2,1,1,1
1158,5,2,1,2,1,2,2,3,1,1
